response_row_id,test_id,total_questions,answers_json,is_complete,time_per_question_s,total_time_s,shuffled_question_order
1,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""9"":[""C""]}",No,"{""9"":5.974}",5.974,"[9,8,26,13,12,20,18,28,10,14,21,15,4,22,3,24,5,11,17,6,23,30,29,31,27,7,16,1,2,25,19]"
2,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""8"":[""D""],""9"":[""C""]}",No,"{""8"":17.025,""9"":5.974}",22.999,"[9,8,26,13,12,20,18,28,10,14,21,15,4,22,3,24,5,11,17,6,23,30,29,31,27,7,16,1,2,25,19]"
3,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""16"":[""B""]}",No,"{""16"":71.8}",71.8,"[16,31,27,1,22,14,30,24,3,2,25,4,8,20,10,21,11,15,26,13,23,17,5,19,18,9,12,6,7,28,29]"
4,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""16"":[""B""],""31"":[""A""]}",No,"{""16"":71.8,""31"":78.778}",150.578,"[16,31,27,1,22,14,30,24,3,2,25,4,8,20,10,21,11,15,26,13,23,17,5,19,18,9,12,6,7,28,29]"
5,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""16"":[""B""],""27"":[""D""],""31"":[""A""]}",No,"{""16"":71.8,""27"":231.21,""31"":78.778}",381.788,"[16,31,27,1,22,14,30,24,3,2,25,4,8,20,10,21,11,15,26,13,23,17,5,19,18,9,12,6,7,28,29]"
6,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""5"":[""C""]}",No,"{""5"":28.981}",102.247,"[5,29,30,14,16,19,24,12,22,21,1,13,25,23,2,4,17,20,26,11,3,27,28,9,15,31,7,10,6,18,8]"
7,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""5"":[""C""],""29"":[""C""]}",No,"{""5"":28.981,""29"":87.898}",190.145,"[5,29,30,14,16,19,24,12,22,21,1,13,25,23,2,4,17,20,26,11,3,27,28,9,15,31,7,10,6,18,8]"
8,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""5"":[""C""],""29"":[""C""],""30"":[""C""]}",No,"{""5"":28.981,""29"":87.898,""30"":138.312}",328.457,"[5,29,30,14,16,19,24,12,22,21,1,13,25,23,2,4,17,20,26,11,3,27,28,9,15,31,7,10,6,18,8]"
9,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""5"":[""C""],""14"":[""D""],""29"":[""C""],""30"":[""C""]}",No,"{""5"":28.981,""14"":109.826,""29"":87.898,""30"":138.312}",438.283,"[5,29,30,14,16,19,24,12,22,21,1,13,25,23,2,4,17,20,26,11,3,27,28,9,15,31,7,10,6,18,8]"
10,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""10"":[""D""]}",No,"{""10"":595.338}",595.338,"[10,12,21,16,2,28,24,9,6,17,31,1,18,13,25,8,23,19,29,27,4,22,11,3,26,5,14,30,15,20,7]"
11,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""10"":[""D""],""12"":[""C""]}",No,"{""10"":595.338,""12"":89.495}",684.833,"[10,12,21,16,2,28,24,9,6,17,31,1,18,13,25,8,23,19,29,27,4,22,11,3,26,5,14,30,15,20,7]"
12,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""5"":[""C""],""14"":[""D""],""16"":[""B""],""29"":[""C""],""30"":[""C""]}",No,"{""5"":28.981,""14"":109.826,""16"":114.308,""29"":87.898,""30"":138.312}",552.591,"[5,29,30,14,16,19,24,12,22,21,1,13,25,23,2,4,17,20,26,11,3,27,28,9,15,31,7,10,6,18,8]"
13,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""5"":[""C""],""14"":[""D""],""16"":[""B""],""19"":[""D""],""29"":[""C""],""30"":[""C""]}",No,"{""5"":28.981,""14"":109.826,""16"":114.308,""19"":63.679,""29"":87.898,""30"":138.312}",616.27,"[5,29,30,14,16,19,24,12,22,21,1,13,25,23,2,4,17,20,26,11,3,27,28,9,15,31,7,10,6,18,8]"
